sequence	product	product_order	codon	OL_category	variability	N_sites	S_sites	N_diffs	S_diffs
SARSCOV2	ORF1ab	1	1124	NOL	polymorphic	2.666666667	0.3333333333	5.030181087e-4	0
SARSCOV2	ORF1ab	1	1125	NOL	polymorphic	1.999496982	0.9997484909	0	0
SARSCOV2	ORF1ab	1	1126	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1127	NOL	polymorphic	2.665995976	0.333249497	0	0
SARSCOV2	ORF1ab	1	1128	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1129	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1130	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1131	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1132	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1133	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1134	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1135	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1136	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1137	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1138	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1139	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1140	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1141	NOL	polymorphic	2.666666667	0.3333333333	0	5.033979361e-4
SARSCOV2	ORF1ab	1	1142	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1143	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1144	NOL	conserved	1.666666667	1.333333333	0	0
SARSCOV2	ORF1ab	1	1145	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1146	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1147	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1148	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1149	NOL	polymorphic	2.333165534	0.666834466	0	5.033979361e-4
SARSCOV2	ORF1ab	1	1150	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1151	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1152	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1153	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1154	NOL	polymorphic	2.666498867	0.3335011326	5.033979361e-4	0
SARSCOV2	ORF1ab	1	1155	NOL	polymorphic	2.000251699	0.999748301	0.001006542399	0
SARSCOV2	ORF1ab	1	1156	NOL	polymorphic	2	1	5.035246727e-4	0
SARSCOV2	ORF1ab	1	1157	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1158	NOL	polymorphic	1.998993204	0.9994966021	0.001508672969	0
SARSCOV2	ORF1ab	1	1159	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1160	NOL	polymorphic	2.666498825	0.3335011749	5.035246727e-4	0
SARSCOV2	ORF1ab	1	1161	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1162	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1163	NOL	conserved	2.166666667	0.8333333333	0	0
SARSCOV2	ORF1ab	1	1164	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1165	NOL	conserved	2.5	0.5	0	0
SARSCOV2	ORF1ab	1	1166	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1167	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1168	NOL	polymorphic	1.999748238	0.9994964753	0.001509432814	0
SARSCOV2	ORF1ab	1	1169	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1170	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1171	NOL	polymorphic	2	1	0	5.036514732e-4
SARSCOV2	ORF1ab	1	1172	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1173	NOL	polymorphic	1.999497235	0.9997486174	0	0.001507157862
SARSCOV2	ORF1ab	1	1174	NOL	polymorphic	1.99899447	0.9994972348	0	0.001004771908
SARSCOV2	ORF1ab	1	1175	NOL	polymorphic	2.332746774	0.6664990783	0	0
SARSCOV2	ORF1ab	1	1176	NOL	polymorphic	2	1	0.001507537117	0.001507537117
SARSCOV2	ORF1ab	1	1177	NOL	polymorphic	2	1	0	5.027652086e-4
SARSCOV2	ORF1ab	1	1178	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1179	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1180	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1181	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1182	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1183	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1184	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1185	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1186	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1187	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1188	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1189	NOL	polymorphic	2.666499078	0.3335009217	5.027652086e-4	0
SARSCOV2	ORF1ab	1	1190	NOL	polymorphic	2.665995807	0.3332494759	0	0
SARSCOV2	ORF1ab	1	1191	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1192	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1193	NOL	conserved	3	0	0	0
SARSCOV2	ORF1ab	1	1194	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1195	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1196	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1197	NOL	polymorphic	2.666582872	0.3334171275	0.001005530417	0
SARSCOV2	ORF1ab	1	1198	NOL	polymorphic	2.666666667	0.3333333333	0	0.002009543816
SARSCOV2	ORF1ab	1	1199	NOL	polymorphic	2.000083794	0.9999162058	5.027652086e-4	5.027652086e-4
SARSCOV2	ORF1ab	1	1200	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1201	NOL	polymorphic	2.666666667	0.3333333333	0.001005277581	0
SARSCOV2	ORF1ab	1	1202	NOL	polymorphic	2.666666667	0.3333333333	0.00401504225	0
SARSCOV2	ORF1ab	1	1203	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1204	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1205	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1206	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1207	NOL	polymorphic	2	0.9992456626	0.001507536544	0
SARSCOV2	ORF1ab	1	1208	NOL	polymorphic	2.666666667	0.3333333333	0	5.028916269e-4
SARSCOV2	ORF1ab	1	1209	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1210	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1211	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1212	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1213	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1214	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1215	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1216	NOL	polymorphic	2	1	5.030181087e-4	0
SARSCOV2	ORF1ab	1	1217	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1218	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1219	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1220	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1221	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1222	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1223	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1224	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1225	NOL	conserved	2.166666667	0.8333333333	0	0
SARSCOV2	ORF1ab	1	1226	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1227	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1228	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1229	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1230	NOL	polymorphic	2.666666667	0.3333333333	5.030181087e-4	0
SARSCOV2	ORF1ab	1	1231	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1232	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1233	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1234	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1235	NOL	conserved	2.5	0.5	0	0
SARSCOV2	ORF1ab	1	1236	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1237	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1238	NOL	polymorphic	2.666666667	0.3333333333	5.028916269e-4	0
SARSCOV2	ORF1ab	1	1239	NOL	polymorphic	2	1	0	5.028916269e-4
SARSCOV2	ORF1ab	1	1240	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1241	NOL	polymorphic	2.000251446	0.9997485542	0.00150791599	0
SARSCOV2	ORF1ab	1	1242	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1243	NOL	polymorphic	1.666834339	1.333165661	0	5.030181087e-4
SARSCOV2	ORF1ab	1	1244	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1245	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1246	NOL	polymorphic	2.00142486	0.9985751404	0.008514754608	0
SARSCOV2	ORF1ab	1	1247	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1248	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1249	NOL	polymorphic	2	1	5.028916269e-4	0
SARSCOV2	ORF1ab	1	1250	NOL	polymorphic	2	1	0	0.002513065816
SARSCOV2	ORF1ab	1	1251	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1252	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1253	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1254	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1255	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1256	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1257	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1258	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1259	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1260	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1261	NOL	polymorphic	2.000167588	0.9998324116	5.027652086e-4	0
SARSCOV2	ORF1ab	1	1262	NOL	polymorphic	2.663817664	0.3361823362	0.008512622795	0
SARSCOV2	ORF1ab	1	1263	NOL	polymorphic	2	1	0.00100553029	0
SARSCOV2	ORF1ab	1	1264	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1265	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1266	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1267	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1268	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1269	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1270	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1271	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1272	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1273	NOL	polymorphic	2.666666667	0.3333333333	0	0.001005277581
SARSCOV2	ORF1ab	1	1274	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1275	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1276	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1277	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1278	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1279	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1280	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1281	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1282	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1283	NOL	polymorphic	2	1	0.003514046896	0
SARSCOV2	ORF1ab	1	1284	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1285	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1286	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1287	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1288	NOL	polymorphic	2.000335177	0.9996648232	0.001005277581	0
SARSCOV2	ORF1ab	1	1289	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1290	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1291	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1292	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1293	NOL	polymorphic	2.665996313	0.3332495391	0	0
SARSCOV2	ORF1ab	1	1294	NOL	polymorphic	1.999497235	0.9997486174	0	0
SARSCOV2	ORF1ab	1	1295	NOL	polymorphic	2.000167588	0.9998324116	5.027652086e-4	0
SARSCOV2	ORF1ab	1	1296	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1297	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1298	NOL	polymorphic	2	1	5.027652086e-4	0
SARSCOV2	ORF1ab	1	1299	NOL	polymorphic	2	1	0	5.027652086e-4
SARSCOV2	ORF1ab	1	1300	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1301	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1302	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1303	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1304	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1305	NOL	polymorphic	2.666666667	0.3333333333	0	5.027652086e-4
SARSCOV2	ORF1ab	1	1306	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1307	NOL	polymorphic	2	1	0	0.002009543816
SARSCOV2	ORF1ab	1	1308	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1309	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1310	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1311	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1312	NOL	polymorphic	2.999497235	5.027652086e-4	0.001507537117	0
SARSCOV2	ORF1ab	1	1313	NOL	conserved	1.666666667	1.333333333	0	0
SARSCOV2	ORF1ab	1	1314	NOL	polymorphic	2	1	5.027652086e-4	5.027652086e-4
SARSCOV2	ORF1ab	1	1315	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1316	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1317	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1318	NOL	conserved	2.166666667	0.8333333333	0	0
SARSCOV2	ORF1ab	1	1319	NOL	polymorphic	2.665996313	0.3332495391	0	0
SARSCOV2	ORF1ab	1	1320	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1321	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1322	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1323	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1324	NOL	polymorphic	2.666666667	0.3333333333	0.001005277581	0
SARSCOV2	ORF1ab	1	1325	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1326	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1327	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1328	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1329	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1330	NOL	polymorphic	2	1	0	0.008017442679
SARSCOV2	ORF1ab	1	1331	NOL	polymorphic	2	1	0	5.027652086e-4
SARSCOV2	ORF1ab	1	1332	NOL	polymorphic	2.666666667	0.3333333333	0	5.027652086e-4
SARSCOV2	ORF1ab	1	1333	NOL	polymorphic	1.999497235	0.9997486174	0	0
SARSCOV2	ORF1ab	1	1334	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1335	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1336	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1337	NOL	polymorphic	2	1	0	5.027652086e-4
SARSCOV2	ORF1ab	1	1338	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1339	NOL	polymorphic	2.000167588	0.9998324116	5.027652086e-4	0
SARSCOV2	ORF1ab	1	1340	NOL	polymorphic	2.665996313	0.3332495391	0	0
SARSCOV2	ORF1ab	1	1341	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1342	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1343	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1344	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1345	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1346	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1347	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1348	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1349	NOL	conserved	2.5	0.5	0	0
SARSCOV2	ORF1ab	1	1350	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1351	NOL	polymorphic	2.666499078	0.3335009217	5.027652086e-4	0
SARSCOV2	ORF1ab	1	1352	NOL	polymorphic	2.000167588	0.9998324116	0.01150241339	0.001005277581
SARSCOV2	ORF1ab	1	1353	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1354	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1355	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1356	NOL	conserved	1.666666667	1.333333333	0	0
SARSCOV2	ORF1ab	1	1357	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1358	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1359	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1360	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1361	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1362	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1363	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1364	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1365	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1366	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1367	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1368	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1369	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1370	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1371	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1372	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1373	NOL	conserved	3	0	0	0
SARSCOV2	ORF1ab	1	1374	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1375	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1376	NOL	conserved	1.5	1.5	0	0
SARSCOV2	ORF1ab	1	1377	NOL	polymorphic	2.665996313	0.3332495391	0	5.026387904e-4
SARSCOV2	ORF1ab	1	1378	NOL	conserved	3	0	0	0
SARSCOV2	ORF1ab	1	1379	NOL	polymorphic	2.000167588	0.9998324116	5.027652086e-4	0.0060164953
SARSCOV2	ORF1ab	1	1380	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1381	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1382	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1383	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1384	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1385	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1386	NOL	polymorphic	2	1	0	5.027652086e-4
SARSCOV2	ORF1ab	1	1387	NOL	polymorphic	2.666666667	0.3333333333	0	5.027652086e-4
SARSCOV2	ORF1ab	1	1388	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1389	NOL	conserved	3	0	0	0
SARSCOV2	ORF1ab	1	1390	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1391	NOL	polymorphic	2.000083857	0.9999161426	5.031446541e-4	0
SARSCOV2	ORF1ab	1	1392	NOL	conserved	2.5	0.5	0	0
SARSCOV2	ORF1ab	1	1393	NOL	polymorphic	1.999496855	0.9997484277	0	5.03018045e-4
SARSCOV2	ORF1ab	1	1394	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1395	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1396	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1397	NOL	polymorphic	1.998993204	0.9994966021	5.031444628e-4	0.001006035452
SARSCOV2	ORF1ab	1	1398	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1399	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1400	NOL	polymorphic	2	1	5.033979361e-4	0
SARSCOV2	ORF1ab	1	1401	NOL	polymorphic	2.000083921	0.9999160792	5.035246727e-4	0
SARSCOV2	ORF1ab	1	1402	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1403	NOL	polymorphic	2.666414968	0.3335850323	5.033979361e-4	0
SARSCOV2	ORF1ab	1	1404	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1405	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1406	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1407	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1408	NOL	polymorphic	2.000167842	0.9998321584	5.035246727e-4	0
SARSCOV2	ORF1ab	1	1409	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1410	NOL	polymorphic	2.666540754	0.3334592462	5.036514732e-4	0
SARSCOV2	ORF1ab	1	1411	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1412	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1413	NOL	polymorphic	2.666666667	0.3333333333	0	0.001006795744
SARSCOV2	ORF1ab	1	1414	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1415	NOL	polymorphic	2	1	0	0.002014478133
SARSCOV2	ORF1ab	1	1416	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1417	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1418	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1419	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1420	NOL	polymorphic	2	1	0.001007302819	0
SARSCOV2	ORF1ab	1	1421	NOL	polymorphic	2.166120907	0.8331234257	0	0
SARSCOV2	ORF1ab	1	1422	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1423	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1424	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1425	NOL	polymorphic	2	1	0	0.004022107382
SARSCOV2	ORF1ab	1	1426	NOL	polymorphic	1.999496349	0.9997481743	0	0
SARSCOV2	ORF1ab	1	1427	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1428	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1429	NOL	polymorphic	2	1	5.036514732e-4	0
SARSCOV2	ORF1ab	1	1430	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1431	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1432	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1433	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1434	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1435	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	1436	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1437	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1438	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	1439	NOL	polymorphic	2.666666667	0.3333333333	0	5.036514732e-4
SARSCOV2	ORF1ab	1	1440	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1441	NOL	polymorphic	1.666834593	1.333165407	0	5.037783375e-4
SARSCOV2	ORF1ab	1	1442	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1443	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	1444	NOL	polymorphic	2.000083963	0.9999160369	5.037783375e-4	0
